TableName,FieldName,Position
FACILITY_LIC_AREA,FACILITY_TYPE,2
FACILITY_LIC_AREA,LICENSE_ID,3
FACILITY_LIC_AREA,AREA_ID,4
FACILITY_LIC_AREA,AREA_TYPE,5
FACILITY_LIC_COND,FACILITY_ID,1
FACILITY_LIC_COND,FACILITY_TYPE,2
FACILITY_LIC_COND,LICENSE_ID,3
FACILITY_LIC_COND,CONDITION_ID,4
FACILITY_LIC_REMARK,FACILITY_ID,1
FACILITY_LIC_REMARK,FACILITY_TYPE,2
FACILITY_LIC_REMARK,LICENSE_ID,3
FACILITY_LIC_REMARK,REMARK_ID,4
FACILITY_LIC_REMARK,REMARK_SEQ_NO,5
FACILITY_LIC_STATUS,FACILITY_ID,1
FACILITY_LIC_STATUS,FACILITY_TYPE,2
FACILITY_LIC_STATUS,LICENSE_ID,3
FACILITY_LIC_STATUS,STATUS_ID,4
FACILITY_LIC_TYPE,GRANTED_BY_BA_ID,1
FACILITY_LIC_TYPE,FACILITY_LICENSE_TYPE,2
FACILITY_LIC_VIOLATION,LICENSE_ID,1
FACILITY_LIC_VIOLATION,FACILITY_TYPE,2
FACILITY_LIC_VIOLATION,FACILITY_ID,3
FACILITY_LIC_VIOLATION,VIOLATION_ID,4
FACILITY_MAINTAIN,FACILITY_ID,1
FACILITY_MAINTAIN,FACILITY_TYPE,2
FACILITY_MAINTAIN,MAINTAIN_ID,3
FACILITY_MAINT_STATUS,FACILITY_ID,1
FACILITY_MAINT_STATUS,FACILITY_TYPE,2
FACILITY_MAINT_STATUS,MAINTAIN_ID,3
FACILITY_MAINT_STATUS,STATUS_ID,4
FACILITY_RATE,FACILITY_ID,1
FACILITY_RATE,FACILITY_TYPE,2
FACILITY_RATE,RATE_SCHEDULE_ID,3
FACILITY_RESTRICTION,FACILITY_ID,1
FACILITY_RESTRICTION,FACILITY_TYPE,2
FACILITY_RESTRICTION,RESTRICTION_ID,3
FACILITY_RESTRICTION,RESTRICTION_VERSION,4
FACILITY_STATUS,FACILITY_ID,1
FACILITY_STATUS,FACILITY_TYPE,2
FACILITY_STATUS,STATUS_ID,3
FACILITY_SUBSTANCE,FACILITY_ID,1
FACILITY_SUBSTANCE,FACILITY_TYPE,2
FACILITY_SUBSTANCE,SUBSTANCE_ID,3
FACILITY_VERSION,FACILITY_ID,1
FACILITY_VERSION,FACILITY_TYPE,2
FACILITY_VERSION,SOURCE,3
FACILITY_XREF,FACILITY_ID,1
FACILITY_XREF,FACILITY_TYPE,2
FACILITY_XREF,FACILITY_ID_2,3
FACILITY_XREF,FACILITY_TYPE_2,4
FACILITY_XREF,XREF_OBS_NO,5
FIELD,FIELD_ID,1
FIELD_ALIAS,FIELD_ID,1
FIELD_ALIAS,FIELD_ALIAS_ID,2
FIELD_ALIAS,SOURCE,3
FIELD_AREA,FIELD_ID,1
FIELD_AREA,AREA_ID,2
FIELD_AREA,AREA_TYPE,3
FIELD_AREA,AREA_OBS_NO,4
FIELD_COMPONENT,FIELD_ID,1
FIELD_COMPONENT,COMPONENT_OBS_NO,2
FIELD_INSTRUMENT,FIELD_ID,1
FIELD_INSTRUMENT,INSTRUMENT_ID,2
FIELD_VERSION,FIELD_ID,1
FIELD_VERSION,SOURCE,2
FINANCE,FINANCE_ID,1
FIN_COMPONENT,FINANCE_ID,1
FIN_COMPONENT,FINANCE_COMPONENT_ID,2
FIN_COST_SUMMARY,COST_ID,1
FIN_XREF,FINANCE_ID1,1
FIN_XREF,FINANCE_ID2,2
FOSSIL,FOSSIL_ID,1
FOSSIL_AGE,FOSSIL_ID,1
FOSSIL_AGE,AGE_INTERP_ID,2
FOSSIL_ASSEMBLAGE,STRAT_NAME_SET_ID,1
FOSSIL_ASSEMBLAGE,STRAT_UNIT_ID,2
FOSSIL_ASSEMBLAGE,TAXON_LEAF_ID,3
FOSSIL_ASSEMBLAGE,INTERP_ID,4
FOSSIL_DESC,FOSSIL_ID,1
FOSSIL_DESC,FOSSIL_DESC_ID,2
FOSSIL_DOCUMENT,FOSSIL_ID,1
FOSSIL_DOCUMENT,SOURCE_DOCUMENT,2
FOSSIL_EQUIVALENCE,FOSSIL_ID,1
FOSSIL_EQUIVALENCE,EQUIV_FOSSIL_ID,2
FOSSIL_NAME_SET,FOSSIL_NAME_SET_ID,1
FOSSIL_NAME_SET_FOSSIL,FOSSIL_NAME_SET_ID,1
FOSSIL_NAME_SET_FOSSIL,FOSSIL_ID,2
FOSSIL_TAXON_ALIAS,TAXON_LEAF_ID,1
FOSSIL_TAXON_ALIAS,FOSSIL_ALIAS_ID,2
FOSSIL_TAXON_HIER,PARENT_TAXON_LEAF_ID,1
FOSSIL_TAXON_HIER,CHILD_TAXON_LEAF_ID,2
FOSSIL_TAXON_LEAF,TAXON_LEAF_ID,1
FOSSIL_XREF,FOSSIL_ID1,1
FOSSIL_XREF,FOSSIL_ID2,2
FOSSIL_XREF,FOSSIL_XREF_ID,3
HSE_INCIDENT,INCIDENT_ID,1
HSE_INCIDENT_BA,INCIDENT_ID,1
HSE_INCIDENT_BA,PARTY_OBS_NO,2
HSE_INCIDENT_BA,PARTY_ROLE_OBS_NO,3
HSE_INCIDENT_CAUSE,INCIDENT_ID,1
HSE_INCIDENT_CAUSE,CAUSE_OBS_NO,2
HSE_INCIDENT_CLASS,INCIDENT_CLASS_ID,1
HSE_INCIDENT_CLASS_ALIAS,INCIDENT_CLASS_ID,1
HSE_INCIDENT_CLASS_ALIAS,ALIAS_OBS_NO,2
HSE_INCIDENT_COMPONENT,INCIDENT_ID,1
HSE_INCIDENT_COMPONENT,COMPONENT_OBS_NO,2
HSE_INCIDENT_DETAIL,INCIDENT_ID,1
HSE_INCIDENT_DETAIL,DETAIL_OBS_NO,2
HSE_INCIDENT_EQUIP,INCIDENT_ID,1
HSE_INCIDENT_EQUIP,EQUIP_OBS_NO,2
HSE_INCIDENT_EQUIP,EQUIP_ROLE_OBS_NO,3
HSE_INCIDENT_EQUIV,INCIDENT_SET_ID,1
HSE_INCIDENT_EQUIV,INCIDENT_TYPE_ID,2
HSE_INCIDENT_EQUIV,INCIDENT_SET_ID2,3
HSE_INCIDENT_EQUIV,INCIDENT_TYPE_ID2,4
HSE_INCIDENT_INTERACTION,INCIDENT_ID,1
HSE_INCIDENT_INTERACTION,INTERACTION_OBS_NO,2
HSE_INCIDENT_REMARK,INCIDENT_ID,1
HSE_INCIDENT_REMARK,REMARK_SEQ_NO,2
HSE_INCIDENT_RESPONSE,INCIDENT_ID,1
HSE_INCIDENT_RESPONSE,RESPONSE_OBS_NO,2
HSE_INCIDENT_SET,INCIDENT_SET_ID,1
HSE_INCIDENT_SEVERITY,INCIDENT_SET_ID,1
HSE_INCIDENT_SEVERITY,INCIDENT_TYPE_ID,2
HSE_INCIDENT_SEVERITY,INCIDENT_SEVERITY_ID,3
HSE_INCIDENT_SEV_ALIAS,INCIDENT_SET_ID,1
HSE_INCIDENT_SEV_ALIAS,INCIDENT_TYPE_ID,2
HSE_INCIDENT_SEV_ALIAS,INCIDENT_SEVERITY_ID,3
HSE_INCIDENT_SEV_ALIAS,SEVERITY_ALIAS_ID,4
HSE_INCIDENT_SUBSTANCE,INCIDENT_ID,1
HSE_INCIDENT_SUBSTANCE,INCIDENT_SUBSTANCE,2
HSE_INCIDENT_SUBSTANCE,SUBSTANCE_SEQ_NO,3
