OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE
PPDM,APPLIC_BA,APPLICATION_BA_ID,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,APPB_BA_FK,NO ACTION
PPDM,APPLIC_BA,APPLICATION_BA_ROLE,1,PPDM,R_APPLIC_BA_ROLE,APPLICATION_BA_ROLE,APPB_R_ABR_FK,NO ACTION
PPDM,APPLIC_BA,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPB_APP_FK,NO ACTION
PPDM,APPLIC_BA,CONTACT_BA_ID,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,APPB_BA_FK2,NO ACTION
PPDM,APPLIC_DESC,CONTACT_BA_ID,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,APPD_BA_FK,NO ACTION
PPDM,APPLIC_DESC,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPD_APP_FK,NO ACTION
PPDM,APPLIC_DESC,APPLIC_DESC_TYPE,2,PPDM,R_APPLIC_DESC,APPLIC_DESC_TYPE,APPD_R_ADE_FK,NO ACTION
PPDM,APPLIC_DESC,APPLICATION_TYPE,1,PPDM,R_APPLIC_DESC,APPLICATION_TYPE,APPD_R_ADE_FK,NO ACTION
PPDM,APPLIC_REMARK,MADE_BY_BA_ID,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,APPR_BA_FK,NO ACTION
PPDM,APPLIC_REMARK,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,APPR_APP_FK,NO ACTION
PPDM,APPLIC_REMARK,REMARK_TYPE,1,PPDM,R_APPLIC_REMARK_TYPE,REMARK_TYPE,APPR_R_ARMT_FK,NO ACTION
PPDM,AREA,COORD_ACQUISITION_ID,1,PPDM,CS_COORD_ACQUISITION,ACQUISITION_ID,A_CSCA_FK,NO ACTION
PPDM,AREA,COORD_SYSTEM_ID,1,PPDM,CS_COORDINATE_SYSTEM,COORD_SYSTEM_ID,A_CS_FK,NO ACTION
PPDM,AREA,SOURCE_DOCUMENT,1,PPDM,SOURCE_DOCUMENT,SOURCE_DOCUMENT,A_SRCD_FK,NO ACTION
PPDM,AREA,LOCAL_COORD_SYSTEM_ID,1,PPDM,CS_COORDINATE_SYSTEM,COORD_SYSTEM_ID,A_CS_FK2,NO ACTION
PPDM,AREA,AREA_TYPE,1,PPDM,R_AREA_TYPE,AREA_TYPE,A_R_ARTY_FK,NO ACTION
PPDM,AREA_ALIAS,AREA_TYPE,2,PPDM,AREA,AREA_TYPE,AA_A_FK,NO ACTION
PPDM,AREA_ALIAS,AREA_ID,1,PPDM,AREA,AREA_ID,AA_A_FK,NO ACTION
PPDM,AREA_ALIAS,OWNER_BA_ID,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,AA_BA_FK,NO ACTION
PPDM,AREA_ALIAS,ALIAS_REASON_TYPE,1,PPDM,R_ALIAS_REASON_TYPE,REASON_TYPE,AA_R_ART_FK,NO ACTION
PPDM,AREA_ALIAS,SW_APPLICATION_ID,1,PPDM,R_SW_APPLICATION,SW_APPLICATION_ID,AA_R_SA_FK,NO ACTION
PPDM,AREA_ALIAS,SOURCE_DOCUMENT,1,PPDM,SOURCE_DOCUMENT,SOURCE_DOCUMENT,AA_SRCD_FK,NO ACTION
PPDM,AREA_ALIAS,ALIAS_TYPE,1,PPDM,R_ALIAS_TYPE,ALIAS_TYPE,AA_R_ATY_FK,NO ACTION
PPDM,AREA_COMPONENT,AREA_TYPE,2,PPDM,AREA,AREA_TYPE,ACMP_A_FK,NO ACTION
PPDM,AREA_COMPONENT,AREA_ID,1,PPDM,AREA,AREA_ID,ACMP_A_FK,NO ACTION
PPDM,AREA_COMPONENT,BUSINESS_ASSOCIATE,1,PPDM,BA_AUTHORITY,BUSINESS_ASSOCIATE,ACMP_BAAU_FK,NO ACTION
PPDM,AREA_COMPONENT,AUTHORITY_ID,2,PPDM,BA_AUTHORITY,AUTHORITY_ID,ACMP_BAAU_FK,NO ACTION
PPDM,AREA_COMPONENT,ENTITLEMENT_ID,1,PPDM,ENTITLEMENT,ENTITLEMENT_ID,ACMP_ENT_FK,NO ACTION
PPDM,AREA_COMPONENT,CONTRACT_ID,1,PPDM,CONTRACT,CONTRACT_ID,ACMP_C_FK,NO ACTION
