OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE,ID
PPDM,PDEN_MATERIAL_BAL,FINAL_CUM_VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENMB_UOM_FK3,NO ACTION,10819
PPDM,PDEN_PR_STR_ALLOWABLE,ALLOWABLE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENPSA_UOM_FK,NO ACTION,10820
PPDM,PDEN_VOLUME_ANALYSIS,VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENVA_UOM_FK,NO ACTION,10821
PPDM,PDEN_VOL_DISPOSITION,VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENVD_UOM_FK,NO ACTION,10822
PPDM,PDEN_VOL_SUMM_OTHER,VOLUME_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PDENVSO_UOM_FK,NO ACTION,10823
PPDM,PPDM_AUDIT_HISTORY,ORIGINAL_NUMERIC_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PAH_UOM_FK,NO ACTION,10824
PPDM,PPDM_AUDIT_HISTORY,NEW_NUMERIC_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PAH_UOM_FK1,NO ACTION,10825
PPDM,PPDM_GROUP_OBJECT,OUTPUT_FONT_SIZE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PGOB_UOM_FK,NO ACTION,10826
PPDM,PPDM_GROUP_OBJECT,PREFERRED_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PGOB_UOM_FK1,NO ACTION,10827
PPDM,PPDM_GROUP_OBJECT,OUTPUT_LENGTH_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PGOB_UOM_FK2,NO ACTION,10828
PPDM,PPDM_MAP_RULE,MAX_VALUE_UOM,1,PPDM,PPDM_UNIT_OF_MEASURE,UOM_ID,PMR_UOM_FK,NO ACTION,10829
