id,TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
449,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FAC_STATUS_TYPE,ROW_QUALITY
450,R_SOURCE,SOURCE,R_FIN_TYPE,SOURCE
451,R_SOURCE,SOURCE,R_FONT,SOURCE
452,R_SOURCE,SOURCE,R_FONT_EFFECT,SOURCE
453,R_SOURCE,SOURCE,R_FOOTAGE_ORIGIN,SOURCE
454,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FOS_ASSEMBLAGE_TYPE,ROW_QUALITY
455,R_FOS_DESC_TYPE,DESCRIPTION_TYPE,R_FOS_DESC_CODE,DESCRIPTION_TYPE
456,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_FOS_DESC_TYPE,ROW_QUALITY
457,R_SOURCE,SOURCE,R_FOS_TAI_COLOR,SOURCE
458,R_SOURCE,SOURCE,R_FOS_XREF,SOURCE
459,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_GEOMETRY_TYPE,ROW_QUALITY
460,R_SOURCE,SOURCE,R_HORIZ_DRILL_TYPE,SOURCE
461,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_HSE_INCIDENT_COMP_TYPE,ROW_QUALITY
462,R_SOURCE,SOURCE,R_HSE_INCIDENT_COMP_TYPE,SOURCE
463,R_SOURCE,SOURCE,R_HSE_INCIDENT_DETAIL,SOURCE
464,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_INCIDENT_RESP_RESULT,ROW_QUALITY
465,R_SOURCE,SOURCE,R_INSP_COMP_TYPE,SOURCE
466,R_SOURCE,SOURCE,R_INST_DETAIL_REF_VALUE,SOURCE
467,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_INTERP_TYPE,ROW_QUALITY
468,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_INT_SET_COMPONENT,ROW_QUALITY
469,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_INT_SET_ROLE,ROW_QUALITY
470,R_SOURCE,SOURCE,R_INT_SET_ROLE,SOURCE
