TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
R_SOURCE,SOURCE,R_PHYSICAL_ITEM_STATUS,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PICK_LOCATION,ROW_QUALITY
R_SOURCE,SOURCE,R_PPDM_AUDIT_TYPE,SOURCE
R_SOURCE,SOURCE,R_PPDM_BOOLEAN_RULE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_ENFORCE_METHOD,ROW_QUALITY
R_SOURCE,SOURCE,R_PPDM_GROUP_USE,SOURCE
R_SOURCE,SOURCE,R_PPDM_MAP_RULE_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_RDBMS,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_SCHEMA_ENTITY,ROW_QUALITY
R_SOURCE,SOURCE,R_PPDM_SCHEMA_ENTITY,SOURCE
R_SOURCE,SOURCE,R_PPDM_UOM_USAGE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PROD_STRING_STAT_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PROJECT_ALIAS_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_PROJECT_COMP_TYPE,SOURCE
R_SOURCE,SOURCE,R_PROJ_STEP_XREF_TYPE,SOURCE
R_SOURCE,SOURCE,R_RATE_SCHEDULE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RATE_SCHEDULE_COMP_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_RATE_SCHED_XREF,SOURCE
R_SOURCE,SOURCE,R_RATIO_FLUID_TYPE,SOURCE
R_SOURCE,SOURCE,R_RECORDER_POSITION,SOURCE
R_SOURCE,SOURCE,R_RECORDER_TYPE,SOURCE
R_SOURCE,SOURCE,R_REPORT_HIER_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RESENT_GROUP_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_RETENTION_PERIOD,SOURCE
R_SOURCE,SOURCE,R_REVISION_METHOD,SOURCE
R_SOURCE,SOURCE,R_RIG_OVERHEAD_CAPACITY,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RIG_SWIVEL_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RMII_CONTENT_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RMII_DESC_TYPE,ROW_QUALITY
